zipcode,year,unemp_rate,med_income,med_rent,rent_burden,poverty_rate
10001,2023,0.06058065192327848,123393,3024,0.3822330181313438,0.15542521994134897
10002,2023,0.08320942932064557,46525,1207,0.49819655800212975,0.24904655488498442
10003,2023,0.04894631504591476,153750,2772,0.43494718847304475,0.12653263613415075
10004,2023,0.0015655577299412916,220592,3501,0.4777292576419214,0.04067357512953368
10005,2023,0.046999368288060644,211810,3501,0.37277829747427504,0.0458973803853648
10006,2023,0.0358227079538555,209972,3501,0.4261692065160273,0.12960893854748604
10007,2023,0.01977848101265823,250001,3501,0.36093023255813955,0.031057563587684068
10009,2023,0.05451708722133877,87963,1925,0.3933352842197674,0.1948938798620524
10010,2023,0.02326797385620915,156127,3113,0.394752534287418,0.09124136997427913
10011,2023,0.05136412132296906,146571,2868,0.4246560203348621,0.09067685681712621
10012,2023,0.04793289394847214,130938,2731,0.38996469455440247,0.11015284365866514
10013,2023,0.04362457170827215,159474,2378,0.42448795858654065,0.09925058013466732
10014,2023,0.07730049990742455,167254,2998,0.3620744259699129,0.06452491151647155
10016,2023,0.04732360728934116,153065,3321,0.4268298272148128,0.09775798293953349
10017,2023,0.04992141998705741,132518,2980,0.5691609977324263,0.10184008029441284
10018,2023,0.06815224463240079,133042,3501,0.46308724832214765,0.16463834672789895
10019,2023,0.04463200540175557,121835,2619,0.39730639730639733,0.1065301478953356
10021,2023,0.04163005731977742,156712,3002,0.35915366684597455,0.04995753223689291
10022,2023,0.05635054246165357,171038,2928,0.4288241415192508,0.06652373120300752
10023,2023,0.04827380062770886,157866,3050,0.4147948890383322,0.08652963846577354
10024,2023,0.02784151323521182,182614,2965,0.4108260845476204,0.07760884364768049
10025,2023,0.07042938578571567,109195,2009,0.4272455616101248,0.150904795813412
10026,2023,0.0835280095351609,74140,1546,0.4095126640474797,0.17681511470985156
10027,2023,0.10353667773699236,64220,1609,0.45274161544790203,0.2365030032127392
10028,2023,0.04824208500962043,168125,2702,0.38475475605021353,0.050344903098653235
10029,2023,0.1004254070705589,38308,1183,0.5227966486977983,0.30579425824099915
10030,2023,0.10326364099949005,42738,1204,0.567652721862419,0.32635969628833056
10031,2023,0.09249647390691114,65067,1787,0.5094558288995417,0.22961301553294056
10032,2023,0.14002310612312263,56588,1546,0.5541141018438123,0.2006711161916
10033,2023,0.11418288371500462,75585,1742,0.49419578745811393,0.16974120769741208
10034,2023,0.08150232225794926,69786,1621,0.46137261947538627,0.14589907386028375
10035,2023,0.11829302987197723,40556,1283,0.5341880341880342,0.37202896269478986
10036,2023,0.057964970809007504,100225,2301,0.45674780689014116,0.13750082732146401
10037,2023,0.10170749814402376,51250,1406,0.49392015495534275,0.2793979303857008
10038,2023,0.049622926093514326,115121,3140,0.40854455186830413,0.1799040876912537
10039,2023,0.1722632639355272,48792,1211,0.5217268089930096,0.2823993426458504
10040,2023,0.1485865947676623,64022,1680,0.502945668775911,0.16564688536675268
10044,2023,0.03373453127648754,106146,3305,0.5540009818360334,0.11429329090426943
10065,2023,0.03736263736263736,160938,2828,0.36993908993192404,0.060186383639658295
10069,2023,0.18648373983739838,226151,3501,0.3330392589325099,0.26555705503073923
10075,2023,0.03452319870996115,146556,2390,0.4634038800705467,0.12671834182690248
10128,2023,0.05217466543608676,148705,2648,0.37735571981007393,0.08534882136530862
10280,2023,0.020974800060359136,206250,3501,0.3192011212333567,0.03495616059067836
10282,2023,0.031371460299833426,250001,3501,0.3854166666666667,0.0639261744966443
10301,2023,0.07324791996324843,84937,1697,0.5170731707317073,0.17641418983700863
10302,2023,0.08319337140297839,76089,1800,0.6822955738934734,0.20029492525170345
10303,2023,0.09793694044375244,79429,1520,0.5036429872495446,0.18604561565726616
10304,2023,0.045227452011569816,71506,1516,0.5218796618597713,0.17795907389560034
10305,2023,0.05928030303030303,86294,1656,0.5059317393684979,0.08651794374393793
10306,2023,0.07606984661566057,97746,1743,0.5351569349465194,0.08914428526171284
10307,2023,0.010062026188835286,138807,1618,0.3552941176470588,0.02676760848992835
10308,2023,0.05262495278861891,122654,1729,0.33795411089866156,0.05798745495796076
10309,2023,0.04543365881677197,123638,1907,0.6311698406529344,0.059683453237410075
10310,2023,0.03993904884112599,106118,1638,0.4697745901639344,0.13291385069525363
10312,2023,0.03604347682447388,111434,1911,0.49111675126903553,0.0640673362390247
10314,2023,0.047863789707247494,104655,1726,0.46205945064593,0.10104604999837738
10451,2023,0.11991644073069914,37111,1269,0.6137875101378751,0.3206840824008346
10452,2023,0.11124690641327263,37854,1367,0.587881658529476,0.355759009248432
10453,2023,0.14238739983420834,35482,1393,0.5723630719195801,0.33661962755332175
10454,2023,0.1508730503945815,27500,1064,0.5900300816501933,0.42806292627072234
10455,2023,0.13525425596385873,36701,1130,0.5800735995638544,0.3295696285387007
10456,2023,0.12809179770505738,35676,1194,0.5485438487047313,0.3680182912603238
10457,2023,0.12934094329443166,44911,1400,0.5594059405940595,0.34141689026794003
10458,2023,0.13588418332366436,42107,1548,0.6100569944448453,0.297992822012495
10459,2023,0.1400959561343386,39276,1285,0.595126582278481,0.33473628563295516
10460,2023,0.16175788083253007,36067,1332,0.5946904398364774,0.3394179239838404
