year,city_unemp_growth,city_income_growth,city_rent_growth,city_rent_burden_growth
2027,0.0017395085888236587,0.05634232403724486,0.02539266795476153,0.0
2028,-0.008682439765574134,0.046359158429391575,0.021845788641721407,0.0
2029,-0.03372016641121084,0.0460829540360412,0.02136269477200108,0.0
